Date;Count;WeekNumber
05/01/2004;38;1
06/01/2004;17;1
07/01/2004;52;1
08/01/2004;23;1
09/01/2004;22;1
10/01/2004;5;1
11/01/2004;19;1
12/01/2004;52;2
13/01/2004;35;2
14/01/2004;36;2
15/01/2004;39;2
16/01/2004;15;2
17/01/2004;13;2
18/01/2004;11;2
19/01/2004;62;3
20/01/2004;32;3
21/01/2004;31;3
22/01/2004;42;3
23/01/2004;20;3
24/01/2004;13;3
25/01/2004;28;3
26/01/2004;50;4
27/01/2004;38;4
28/01/2004;35;4
29/01/2004;26;4
30/01/2004;35;4
31/01/2004;24;4
01/02/2004;0;4
02/02/2004;9;5
03/02/2004;10;5
04/02/2004;10;5
05/02/2004;13;5
06/02/2004;21;5
07/02/2004;11;5
08/02/2004;9;5
09/02/2004;32;6
10/02/2004;20;6
11/02/2004;33;6
12/02/2004;22;6
13/02/2004;21;6
14/02/2004;11;6
15/02/2004;25;6
16/02/2004;48;7
17/02/2004;31;7
18/02/2004;23;7
19/02/2004;33;7
20/02/2004;20;7
21/02/2004;5;7
22/02/2004;21;7
23/02/2004;49;8
24/02/2004;28;8
25/02/2004;31;8
26/02/2004;43;8
27/02/2004;18;8
28/02/2004;5;8
29/02/2004;13;8
01/03/2004;40;9
02/03/2004;29;9
03/03/2004;36;9
04/03/2004;25;9
05/03/2004;21;9
06/03/2004;15;9
07/03/2004;12;9
08/03/2004;59;10
09/03/2004;40;10
10/03/2004;32;10
11/03/2004;53;10
12/03/2004;36;10
13/03/2004;17;10
14/03/2004;19;10
15/03/2004;57;11
16/03/2004;23;11
17/03/2004;34;11
18/03/2004;43;11
19/03/2004;26;11
20/03/2004;12;11
21/03/2004;20;11
22/03/2004;50;12
23/03/2004;25;12
24/03/2004;35;12
25/03/2004;42;12
26/03/2004;18;12
27/03/2004;7;12
28/03/2004;12;12
29/03/2004;48;13
30/03/2004;33;13
31/03/2004;29;13
01/04/2004;41;13
02/04/2004;23;13
03/04/2004;15;13
04/04/2004;25;13
05/04/2004;56;14
06/04/2004;25;14
07/04/2004;31;14
08/04/2004;14;14
09/04/2004;14;14
10/04/2004;17;14
11/04/2004;21;14
12/04/2004;74;15
13/04/2004;33;15
14/04/2004;38;15
15/04/2004;67;15
16/04/2004;30;15
17/04/2004;8;15
18/04/2004;19;15
19/04/2004;70;16
20/04/2004;46;16
21/04/2004;44;16
22/04/2004;57;16
23/04/2004;36;16
24/04/2004;9;16
25/04/2004;20;16
26/04/2004;81;17
27/04/2004;25;17
28/04/2004;58;17
29/04/2004;46;17
30/04/2004;28;17
01/05/2004;2;17
02/05/2004;19;17
03/05/2004;71;18
04/05/2004;15;18
05/05/2004;36;18
06/05/2004;45;18
07/05/2004;29;18
08/05/2004;7;18
09/05/2004;22;18
10/05/2004;89;19
11/05/2004;39;19
12/05/2004;38;19
13/05/2004;46;19
14/05/2004;32;19
15/05/2004;18;19
16/05/2004;25;19
17/05/2004;78;20
18/05/2004;35;20
19/05/2004;48;20
20/05/2004;54;20
21/05/2004;56;20
22/05/2004;12;20
23/05/2004;26;20
24/05/2004;99;21
25/05/2004;45;21
26/05/2004;44;21
27/05/2004;56;21
28/05/2004;40;21
29/05/2004;16;21
30/05/2004;17;21
31/05/2004;81;22
01/06/2004;33;22
02/06/2004;37;22
03/06/2004;49;22
04/06/2004;44;22
05/06/2004;15;22
06/06/2004;31;22
07/06/2004;108;23
08/06/2004;30;23
09/06/2004;72;23
10/06/2004;62;23
11/06/2004;46;23
12/06/2004;15;23
13/06/2004;30;23
14/06/2004;83;24
15/06/2004;37;24
16/06/2004;51;24
17/06/2004;53;24
18/06/2004;32;24
19/06/2004;9;24
20/06/2004;15;24
21/06/2004;80;25
22/06/2004;30;25
23/06/2004;52;25
24/06/2004;82;25
25/06/2004;28;25
26/06/2004;13;25
27/06/2004;23;25
28/06/2004;23;26
29/06/2004;78;26
30/06/2004;24;26
01/07/2004;46;26
02/07/2004;45;26
03/07/2004;14;26
04/07/2004;26;26
05/07/2004;77;27
06/07/2004;37;27
07/07/2004;39;27
08/07/2004;45;27
09/07/2004;37;27
10/07/2004;14;27
11/07/2004;29;27
12/07/2004;64;28
13/07/2004;26;28
14/07/2004;29;28
15/07/2004;53;28
16/07/2004;27;28
17/07/2004;9;28
18/07/2004;13;28
19/07/2004;80;29
20/07/2004;45;29
21/07/2004;33;29
22/07/2004;50;29
23/07/2004;35;29
24/07/2004;11;29
25/07/2004;10;29
26/07/2004;55;30
27/07/2004;37;30
28/07/2004;41;30
29/07/2004;54;30
30/07/2004;25;30
31/07/2004;6;30
01/08/2004;12;30
02/08/2004;29;31
03/08/2004;48;31
04/08/2004;41;31
05/08/2004;57;31
06/08/2004;23;31
07/08/2004;10;31
08/08/2004;40;31
09/08/2004;61;32
